D0 Brightness -SAP,ClO2 Concentration
71.4,7.7
72.4,7.8
70.8,7.8
71.9,7.8
70.2,7.8
71,7.8
69.4,7.8
67.8,7.8
66.8,7.8
66.8,7.6
71.1,7.6
70.3,7.6
67,7.6
65.9,7.6
65.4,7.6
65.2,7.6
69.8,7.6
67.3,7.3
72.3,7.3
73.5,7.3
72.2,7.3
74,7.3
73.8,7.3
73.5,7.3
72.3,7.3
69.8,7.3
71.4,7.3
72.6,7.3
67.5,7.3
65.1,7.3
68.9,7.3
65.3,6.9
67.8,6.9
66.1,6.9
64.8,6.9
63.9,6.9
67,6.9
69.8,6.9
69,6.9
71.8,6.6
65.1,6.6
63,6.6
69.8,6.6
71.9,6.6
67.5,6.6
70.8,6.6
71.6,6.6
72.9,7.1
71.8,7.1
74.5,7.1
73,7.1
70.1,7.1
66,7.1
62.3,7.1
62.8,7.3
64.1,7.3
67.3,7.3
70,7.3
73.8,7.3
75.8,7.3
70,7.3
66.8,7.3
67.3,7.3
76.8,7.3
70.5,7.3
71.6,7.3
71.1,7.3
73.2,7.3
72.5,7.3
59.8,7.3
59.3,7.4
63.6,7.4
64.5,7.4
67.6,7.4
65,7.4
69.4,7.4
73.7,7.4
72.6,7.4
71.4,7.5
71.8,7.5
73.2,7.5
73.4,7.5
74.3,7.5
73.5,7.5
75,7.5
77.4,7.5
76.8,7.2
73.5,7.2
74,7.2
73.8,7.2
74.1,7.2
72.5,7.2
72.8,7.2
75.4,7.2
75.5,7.3
73.9,7.3
73.3,7.3
73.9,7.3
73,7.3
72.9,7.3
74.9,7.3
72.8,7.3
73.1,7.2
71.5,7.2
73,7.2
71.4,7.2
70.1,7.2
71.3,7.2
70.1,7.2
71.8,7.2
73,7.1
75,7.1
76.1,7.1
76.6,7.1
77,7.1
77.5,7.1
76.7,7.1
72,7.1
70.2,7.4
70.8,7.4
71.3,7.4
73.7,7.4
72.8,7.4
74.5,7.4
74,7.4
71.9,7.4
73,7.1
73.2,7.1
71.6,7.1
71.6,7.1
73.1,7.1
72.4,7.1
74.1,7.1
74.5,7.4
75.2,7.4
73.1,7.4
71.6,7.4
71.9,7.4
71.5,7.4
70.6,7.4
75.8,7.4
75.4,7.7
76.2,7.7
73.8,7.7
71.7,7.7
72.4,7.7
71.3,7.7
73.8,7.7
74.2,7.7
73.3,7.7
74.2,7.7
72.1,7.7
70.5,8
70.1,8
70.3,8
72.4,8
75.4,8
75.3,7.2
74.1,7.2
70.7,7.2
71.4,7.2
72,7.2
71.7,7.2
71.7,7.2
72.1,7.2
71.7,7.4
74.5,7.4
73.4,7.4
71.9,7.4
73,7.4
73.4,7.4
70.5,7.4
68.6,7.4
71.8,7.4
70.3,7.4
70.9,6.8
71,6.8
71.5,6.8
72.3,6.8
74.6,6.8
71.8,6.8
73.5,7.2
70.8,7.2
69.1,7.2
69.2,7.2
69.8,7.2
68.1,7.2
69.5,7.2
70.4,7.2
68.4,7.4
67.2,7.4
69.3,7.4
67.4,7.4
67.8,7.4
68.8,7.4
69.9,7.4
72.6,7.4
74.5,6.7
77,6.7
74.8,6.7
72.5,6.7
72.1,6.7
71,6.7
70,6.7
71.1,6.7
70.9,7.1
75.9,7.1
77.5,7.1
75.9,7.1
75,7.1
75.7,7.1
75.1,7.1
72.3,7.1
75.2,7.4
78,7.4
75.6,7.4
76,7.4
72.3,7.4
74.2,7.4
75,6.4
75.1,6.4
72.7,6.4
72,6.4
75.3,6.4
74.1,6.4
76.5,6.4
76.8,7.3
72.4,7.3
74.7,7.3
76.5,7.3
76.2,7.3
75.8,7.3
76.7,7.3
72.6,7.3
70.5,7.3
72.5,7.3
71.3,7.3
72,7.3
71.5,6.4
72.3,6.4
73.2,6.4
71.8,6.4
70.9,6.7
72.4,6.7
72,6.7
73.1,6.7
73.3,6.7
71.8,6.7
70.6,6.7
73.8,6.7
73.5,7.2
77.1,7.2
76,7.2
73.8,7.2
73.3,7.2
74.9,7.2
75.7,7.2
75.7,7.2
73.8,7.3
74.1,7.3
75.8,7.3
73.2,7.3
74,7.3
72.4,7.3
72,7.3
71.5,7.3
73.1,7.3
72.5,7.3
71.7,7.3
72.8,7.3
75.1,7.3
76.3,7.3
77.9,7.3
