Date & Time,D0 Brightness -SAP,TRP2 Outlet brightness,ClO2 Concentration,D0 - ClO2 Flow
01-12-2021 7:00,71.4,49.2,7.7,10.5
01-12-2021 8:00,72.4,46.5,7.8,10.8
01-12-2021 9:00,70.8,46.5,7.8,9.1
01-12-2021 10:00,71.9,46.5,7.8,10.6
01-12-2021 11:00,70.2,46.5,7.8,10.4
01-12-2021 12:00,71,46.5,7.8,9.3
01-12-2021 13:00,69.4,46.5,7.8,10
01-12-2021 14:00,67.8,46.5,7.8,8.8
01-12-2021 15:00,66.8,46.5,7.8,5
01-12-2021 16:00,66.8,46.5,7.6,7.7
01-12-2021 17:00,71.1,46.5,7.6,7.6
01-12-2021 18:00,70.3,46.5,7.6,5.8
01-12-2021 19:00,67,46.5,7.6,10
01-12-2021 20:00,65.9,46.5,7.6,12
01-12-2021 21:00,65.4,46.5,7.6,11.3
01-12-2021 22:00,65.2,46.5,7.6,12.2
01-12-2021 23:00,69.8,46.5,7.6,12.4
02-12-2021 0:00,67.3,46.5,7.3,9.4
02-12-2021 1:00,72.3,46.5,7.3,12.5
02-12-2021 2:00,73.5,46.5,7.3,9.9
02-12-2021 3:00,72.2,46.5,7.3,10.7
02-12-2021 4:00,74,46.5,7.3,12.3
02-12-2021 5:00,73.8,46.5,7.3,12.4
02-12-2021 6:00,73.5,46.5,7.3,12.5
02-12-2021 7:00,72.3,46.5,7.3,12.5
02-12-2021 8:00,69.8,49.7,7.3,12.8
02-12-2021 9:00,71.4,49.7,7.3,12.4
02-12-2021 10:00,72.6,49.7,7.3,12.5
02-12-2021 13:00,67.5,49.7,7.3,13.7
02-12-2021 14:00,65.1,49.7,7.3,12.5
02-12-2021 15:00,68.9,49.7,7.3,13.2
02-12-2021 16:00,65.3,45.8,6.9,13.5
02-12-2021 17:00,67.8,45.8,6.9,13.6
02-12-2021 18:00,66.1,45.8,6.9,13.7
02-12-2021 19:00,64.8,45.8,6.9,13.6
02-12-2021 20:00,63.9,45.8,6.9,12.8
02-12-2021 21:00,67,45.8,6.9,12.4
02-12-2021 22:00,69.8,45.8,6.9,12.5
02-12-2021 23:00,69,45.8,6.9,12.7
03-12-2021 0:00,71.8,45.8,6.6,12.4
03-12-2021 1:00,65.1,45.8,6.6,12.8
03-12-2021 2:00,63,45.8,6.6,13.2
03-12-2021 3:00,69.8,45.8,6.6,13.5
03-12-2021 4:00,71.9,45.8,6.6,13.4
03-12-2021 5:00,67.5,45.8,6.6,13.6
