D0 Brightness -SAP,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15
71.4,,,,,,,,,,,,,,,
72.4,49.2,,,,,,,,,,,,,,
70.8,46.5,49.2,,,,,,,,,,,,,
71.9,46.5,46.5,49.2,,,,,,,,,,,,
70.2,46.5,46.5,46.5,49.2,,,,,,,,,,,
71,46.5,46.5,46.5,46.5,49.2,,,,,,,,,,
69.4,46.5,46.5,46.5,46.5,46.5,49.2,,,,,,,,,
67.8,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,,,,,,,
66.8,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,,,,,,
66.8,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,,,,,
71.1,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,,,,
70.3,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,,,
67,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,,
65.9,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,,
65.4,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2,
65.2,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.2
69.8,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
67.3,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
72.3,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
73.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
72.2,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
74,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
73.8,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
73.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
72.3,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
69.8,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
71.4,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
72.6,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
67.5,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
65.1,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
68.9,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
65.3,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
67.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
66.1,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5
64.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5,46.5
63.9,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5,46.5
67,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5,46.5
69.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5,46.5
69,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5,46.5
71.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7,46.5
65.1,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7,49.7
63,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7,49.7
69.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7,49.7
71.9,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7,49.7
67.5,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7,49.7
70.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,49.7
71.6,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8
